startingAirport,destinationAirport,nStops,totalTravelDistance,travelDurationMinutes
DEN,JFK,2,1951.6729857819905,725.127962085308
DEN,LAX,0,843.5087789840504,147.80462851271054
DEN,LAX,1,1192.860834670947,372.9867415730337
DEN,LAX,2,981.1867219917012,637.9063426200356
DEN,LGA,0,1621.0,226.50245195493704
DEN,LGA,1,1877.1338185233008,454.2117619438901
DEN,LGA,2,1965.7492711370262,773.4752186588921
DEN,MIA,0,1716.0,234.32043105344184
DEN,MIA,1,2139.1474195338515,502.69755826859046
DEN,MIA,2,2022.9502427184466,762.6832524271845
DEN,OAK,0,943.0,157.2866323907455
DEN,OAK,1,1296.4462419113986,441.6221503235441
DEN,OAK,2,1791.8132508190754,757.3108846013833
DEN,OAK,3,1719.0,1069.0
DEN,ORD,0,903.0,148.867516849478
DEN,ORD,1,1498.6688249655026,414.4124296783781
DEN,ORD,2,1650.5882352941176,648.9411764705883
DEN,ORD,3,1370.0,544.7028301886793
DEN,PHL,0,1567.0,214.77586817859674
DEN,PHL,1,1909.252347083926,482.4975817923186
DEN,PHL,2,1801.8452138492871,757.7474541751527
DEN,PHL,3,1924.0,908.0
DEN,SFO,0,954.0,163.43147024841133
DEN,SFO,1,1264.1817170406082,400.59376970146485
DEN,SFO,2,1332.349644500209,595.4604767879548
DFW,ATL,0,725.0,127.91759504096406
DFW,ATL,1,1310.1493624772313,413.64626593806923
DFW,ATL,2,895.2486486486487,454.9945945945946
DFW,BOS,0,1556.0,224.89122687934838
DFW,BOS,1,1636.3645059711248,463.04467946051926
DFW,BOS,2,1678.9627507163323,773.567335243553
DFW,CLT,0,930.0,154.20459125558574
DFW,CLT,1,1254.8362324257496,376.8505505879647
DFW,CLT,2,964.9902597402597,589.7175324675325
DFW,CLT,3,1192.8121245221191,642.8738394320044
DFW,DEN,0,650.0,126.34605512777591
DFW,DEN,1,1499.662082373272,404.6141273041475
DFW,DEN,2,1011.0290237467018,409.6081794195251
DFW,DTW,0,995.0,159.31324642173396
DFW,DTW,1,1444.7354089134974,433.5200599074158
DFW,DTW,2,1445.7554347826087,692.875
DFW,DTW,3,1472.0,711.0
DFW,EWR,0,1380.0,209.826336094406
DFW,EWR,1,1528.6488446838082,404.7255038220987
DFW,EWR,2,1608.3372093023256,764.8
DFW,IAD,0,1177.0,177.46284544524053
DFW,IAD,1,1376.8378692719236,399.3768783438009
DFW,IAD,2,1412.0021598272137,696.2159827213823
DFW,JFK,0,1380.0,222.58683577882783
DFW,JFK,1,1585.9659052548666,469.44368178237875
DFW,JFK,2,1528.0702410640067,737.6604322527015
DFW,JFK,3,1210.0,802.3333333333334
DFW,LAX,0,1230.4637774642208,194.72715178391454
DFW,LAX,1,1543.8548638760358,423.66886366081997
DFW,LAX,2,1607.4558189655172,672.2629310344828
DFW,LGA,0,1380.0,209.30384340620088
DFW,LGA,1,1568.832325759155,430.9469460079216
DFW,LGA,2,1651.5664335664335,801.7132867132867
DFW,MIA,0,1115.0,173.70090199348138
DFW,MIA,1,1411.271456253526,413.48865559616377
DFW,MIA,2,1409.8235294117646,524.2941176470588
DFW,OAK,1,1875.8561182351664,470.9748967615736
DFW,OAK,2,1837.1002133393217,710.9080956658432
DFW,OAK,3,1226.0,1543.0
DFW,ORD,0,799.0,146.769681123174
DFW,ORD,1,1342.588506808216,436.2272328640665
DFW,ORD,2,1357.5686274509803,859.0326797385621
DFW,ORD,3,1044.9398663697104,611.1770601336303
DFW,PHL,0,1298.0,196.14524675324677
DFW,PHL,1,1530.6775309744392,440.8046656992968
DFW,PHL,2,1487.2804232804233,740.8095238095239
DFW,SFO,0,1468.0,227.67500421088093
DFW,SFO,1,1742.2427287149656,461.93625676280357
DFW,SFO,2,1778.8982090643274,717.1200657894736
DTW,ATL,0,604.0,119.0797371692417
DTW,ATL,1,1101.2544181977253,407.00294546515016
DTW,ATL,2,1209.2448979591836,598.1836734693877
DTW,ATL,3,946.5526315789474,670.8552631578947
DTW,BOS,0,622.0,113.75633719787777
