startingAirport,destinationAirport,number_of_transits,averageTravelDistance,averageTravelDuration
MIA,PHL,0,1016.0,10138.67463184218
MIA,PHL,1,1293.169963727854,26390.191076624636
MIA,PHL,2,1562.9996274217585,47099.73174366617
MIA,SFO,0,2582.0,22081.213571117878
MIA,SFO,1,3119.0109085628665,41413.22725251927
MIA,SFO,2,2759.928544914625,49063.51893095768
OAK,ATL,0,2426.0,21487.5
OAK,ATL,1,2383.439796308308,33989.04875649852
OAK,ATL,2,2540.3841234102742,47704.00235086688
OAK,ATL,3,2532.0,56700.0
OAK,BOS,1,2932.9931272869335,38313.25604341391
OAK,BOS,2,3033.7234780791277,50922.26283185841
OAK,BOS,3,2707.3225806451615,60551.6129032258
OAK,CLT,1,2336.7874142586106,33784.36912311393
OAK,CLT,2,2733.9482533357495,48276.55930871956
OAK,DEN,0,943.0,9152.629355860612
OAK,DEN,1,1278.0051029169983,27667.468006778472
OAK,DEN,2,1800.567034093822,46319.38665985178
OAK,DFW,0,2426.0,21487.5
OAK,DFW,1,1919.6865992157939,31370.57670916403
OAK,DFW,2,1927.5755343075737,45684.225491934056
OAK,DFW,3,1807.0,62981.25
OAK,DTW,0,2072.0,16500.0
OAK,DTW,1,2289.3776692531956,33471.61286181888
OAK,DTW,2,2513.059654049848,46794.38467418307
OAK,EWR,1,2851.3125757584917,39782.20010314595
OAK,EWR,2,2956.6613496113314,49210.84658040665
OAK,EWR,3,2972.0,67020.0
OAK,IAD,1,2725.533666076994,35657.3040181956
OAK,IAD,2,2868.703850837139,49767.98904109589
OAK,JFK,1,2800.9839549063117,36864.31355750696
OAK,JFK,2,3125.3911778962674,53194.939642684694
OAK,JFK,3,1497.25,75975.0
OAK,LAX,0,338.0,4993.981960668342
OAK,LAX,1,1469.4608457675624,31139.767519373385
OAK,LAX,2,1392.83524313207,44778.62494490965
OAK,LGA,1,2557.0,34108.0
OAK,LGA,2,2992.462733161841,49666.91020715902
OAK,LGA,3,1909.0,44527.692307692305
OAK,MIA,1,2707.2255322311216,31496.511948529413
OAK,MIA,2,3185.736871889253,52702.72202278757
OAK,MIA,3,3252.9166666666665,54703.75
OAK,ORD,0,,15000.0
OAK,ORD,1,2141.2971266973564,34765.63661155616
OAK,ORD,2,2405.745882481433,47914.78899082569
OAK,PHL,0,,19171.858913250715
OAK,PHL,1,2764.4792820279094,41481.04754829123
OAK,PHL,2,2866.333664162591,48684.952955614644
OAK,SFO,1,892.5245864508119,26517.1468439629
OAK,SFO,2,1006.0180451127819,34659.15789473684
ORD,ATL,0,600.0,7203.099611901682
ORD,ATL,1,1313.466034524896,30471.129516333833
ORD,ATL,2,785.4422150882825,27737.720706260032
ORD,ATL,3,1021.2022900763359,34209.46564885496
ORD,BOS,0,862.0,8534.348454083021
ORD,BOS,1,956.6309636684272,24458.385900707854
ORD,BOS,2,1023.3065420560748,38148.56074766355
ORD,BOS,3,1307.2088353413656,38799.87951807229
ORD,CLT,0,592.0,7223.851643720146
ORD,CLT,1,1128.4893647143786,23975.640337589266
ORD,CLT,2,881.574398249453,29452.056892778994
ORD,CLT,3,916.0277606415792,38816.66872301049
ORD,DEN,0,903.0,9652.23675154852
ORD,DEN,1,1345.110928917765,24526.69041450777
ORD,DEN,2,1472.1944444444443,39023.88888888889
ORD,DEN,3,1402.7259136212624,37717.22591362126
ORD,DFW,0,799.0,8933.43448042041
ORD,DFW,1,1306.371828617719,31014.838467317808
ORD,DFW,2,885.9332943241661,25988.56641310708
ORD,DFW,3,1261.4165535956581,35961.981004070556
ORD,DTW,0,240.0,5061.180975794251
ORD,DTW,1,1262.6648004593742,32324.620146314013
ORD,DTW,2,1010.4600231749711,30377.172653534184
ORD,DTW,3,961.2413793103449,36909.31034482759
ORD,EWR,0,720.0,7787.065095880987
ORD,EWR,1,929.554013460923,25088.95460797799
ORD,EWR,2,1117.5714285714287,44288.57142857143
ORD,EWR,3,1268.0974440894568,35566.38977635783
ORD,IAD,0,594.0,6805.015974440895
ORD,IAD,1,897.9119116700476,21567.844269329795
ORD,IAD,2,952.0095857583019,36994.159534406026
ORD,IAD,3,1067.3824796553374,34661.01483963619
ORD,JFK,0,720.0,8585.492887029288
ORD,JFK,1,994.0481775399174,26305.511116915342
ORD,JFK,2,983.0218340611353,39547.59825327511
ORD,JFK,3,1158.0,30805.65371024735
ORD,LAX,0,1745.0,15825.937784368576
ORD,LAX,1,2114.3398242530743,31807.15223593304
ORD,LAX,2,2045.4057971014493,44412.75362318841
ORD,LGA,0,720.0,7763.951425372492
ORD,LGA,1,909.2027214271576,24575.113496792976
ORD,LGA,2,1019.9532967032967,38709.89010989011
ORD,LGA,3,1188.2845117845118,46127.878787878784
ORD,MIA,0,1192.0,11211.489230769232
ORD,MIA,1,1621.2243761260045,25818.178332766
ORD,MIA,2,1599.3839285714287,45198.21428571428
ORD,MIA,3,1303.0,34512.75974025974
ORD,OAK,0,,16500.0
ORD,OAK,1,2134.8399045326105,35839.036069001566
ORD,OAK,2,2427.3198536681825,52940.371761914175
ORD,OAK,3,2387.6666666666665,44620.0
ORD,PHL,0,672.0,7360.841145698451
ORD,PHL,1,1071.2166083281857,26072.331533879373
ORD,PHL,2,1178.6824104234527,48133.778501628665
ORD,PHL,3,1124.8590021691973,42828.41648590022
ORD,SFO,0,1847.0,16733.640093482212
ORD,SFO,1,2172.9239484734157,32676.788602941175
ORD,SFO,2,2313.0242034313724,45542.1875
ORD,SFO,3,1974.0,45960.0
PHL,ATL,0,669.7444214224687,7864.315398376221
PHL,ATL,1,1044.181615389699,25152.06751985878
PHL,ATL,2,844.65,31978.875
PHL,ATL,3,936.0,56100.0
PHL,BOS,0,280.0,5287.5854341736695
PHL,BOS,1,617.4560517654489,24814.44219066937
PHL,BOS,2,674.0,43500.0
PHL,CLT,0,450.6479581144975,6494.889785333526
PHL,CLT,1,894.2253804942927,23223.873395605133
PHL,CLT,2,946.0505050505051,35646.666666666664
PHL,DEN,0,1567.0,15383.927855711423
PHL,DEN,1,1846.8788019388212,29717.726385777263
PHL,DEN,2,1851.3313908313908,43206.41025641026
PHL,DFW,0,1298.0,13043.677557834486
PHL,DFW,1,1526.5027451385888,27498.050022708103
PHL,DFW,2,1471.5128205128206,38666.153846153844
PHL,DFW,3,1426.0224428139836,48393.97496763056
PHL,DTW,0,447.0,6447.25437038422
PHL,DTW,1,896.9968949253131,26858.41745814936
PHL,DTW,2,1017.2737722048067,37351.22257053292
PHL,EWR,0,97.0,3125.556581986143
PHL,EWR,1,1060.339231531838,26808.986451276705
PHL,EWR,2,1042.877639571883,34555.66097772635
PHL,IAD,1,899.2836368056417,20649.944226710883
PHL,IAD,2,759.2456063268893,37646.76599474146
PHL,JFK,1,717.4092905381899,21951.42237013457
PHL,JFK,2,532.0330708661418,19709.245283018867
PHL,LAX,0,2397.0,20889.937888198758
PHL,LAX,1,2540.0564977293784,35064.383791606364
PHL,LAX,2,2502.2332361516037,50508.72541879097
PHL,LAX,3,2483.0,58436.666666666664
PHL,LGA,1,1043.8610751622452,24780.33250305826
PHL,LGA,2,956.1285363648108,34827.32205141454
PHL,MIA,0,1016.0,10572.004998611497
PHL,MIA,1,1327.623456131223,25819.482687038115
PHL,MIA,2,1567.0504462553356,44945.56461001164
PHL,OAK,0,,21185.83969465649
PHL,OAK,1,2730.4305347459726,41849.73059653624
PHL,OAK,2,2870.4444220438927,50650.91487225259
PHL,OAK,3,1603.2260273972602,68715.20547945205
PHL,ORD,0,672.0,8621.66399005336
PHL,ORD,1,1022.5349975568051,27305.18399641711
PHL,ORD,2,1265.6133333333332,39841.6
PHL,ORD,3,1089.9229208924949,36547.9107505071
PHL,SFO,0,2516.0,22041.39775280899
PHL,SFO,1,2721.0759675672607,37318.836115056816
PHL,SFO,2,2802.9993592397627,50472.005488223185
SFO,ATL,0,2135.0,16868.59152288072
SFO,ATL,1,2650.9134185323223,34937.65487245798
SFO,ATL,2,2377.8338119167265,47538.208901651116
SFO,BOS,0,2698.0,20845.66284244478
SFO,BOS,1,2847.151646146775,35961.0149326211
SFO,BOS,2,2898.817220543807,47430.652567975834
SFO,BOS,3,2047.0,55800.0
SFO,CLT,0,2292.0,18547.848979591836
SFO,CLT,1,2706.875612766004,35151.05321225494
SFO,CLT,2,2582.710982901941,44478.00624231533
SFO,DEN,0,954.0,9395.411205196613
SFO,DEN,1,1318.2175738801486,24873.734250020065
SFO,DEN,2,1617.054933519944,46059.3421973408
SFO,DFW,0,1468.0,12982.216584323674
SFO,DFW,1,1898.244906689425,28476.96644295302
SFO,DFW,2,1811.5524475524476,40980.75924075924
SFO,DFW,3,1790.0,53400.0
SFO,DTW,0,2083.0,16416.220500810665
SFO,DTW,1,2515.7522784145704,33300.34606511151
SFO,DTW,2,2475.4980565371025,47357.85159010601
SFO,DTW,3,2140.3636363636365,50738.181818181816
SFO,EWR,0,2566.0,19989.467977255696
SFO,EWR,1,2777.470378554389,34414.423296074485
SFO,EWR,2,2841.9608735213833,44892.03821656051
SFO,EWR,3,2648.0,49410.0
SFO,IAD,0,2426.0,18594.700614574187
SFO,IAD,1,2673.28170498856,33747.9215542522
SFO,IAD,2,2762.0971007823287,48259.04279797515
SFO,JFK,0,2566.0,20582.113866967306
SFO,JFK,1,2899.223467715649,37052.945352263596
SFO,JFK,2,2923.141906873614,48757.18403547672
SFO,LAX,0,340.98319862963785,5515.371299845868
SFO,LAX,1,1051.15446003222,27485.96223915204
SFO,LAX,2,927.0282258064516,39514.1129032258
SFO,LGA,1,2770.3603866347635,35300.04808267031
SFO,LGA,2,2925.58654913081,44370.96905437061
SFO,MIA,0,2582.0,20312.251308900522
SFO,MIA,1,3134.186913279113,38321.75744961673
SFO,MIA,2,2810.644230769231,44913.5407239819
SFO,MIA,3,2515.0,48480.0
SFO,OAK,1,850.6454334290792,25704.439459368514
SFO,OAK,2,1648.0731707317073,41192.92682926829
SFO,ORD,0,1847.0,15567.632152871534
SFO,ORD,1,2191.41251535193,31222.21792216287
SFO,ORD,2,2303.6257005604484,46250.36829463571
SFO,PHL,0,2516.0,19774.188829787236
SFO,PHL,1,2736.53555829285,34737.46007700562
SFO,PHL,2,2855.4641930979456,48639.31777378815
SFO,PHL,3,2858.0,52020.0
