startingAirport,destinationAirport,number_of_transits,averageTravelDistance,averageTravelDuration
DEN,ATL,3,1182.0,30109.333333333332
DEN,BOS,0,1763.0,14199.47977397076
DEN,BOS,1,1950.9034900669726,28682.044080909018
DEN,BOS,2,1932.3511149978137,44471.46480104941
DEN,CLT,0,1346.0,11990.640410958904
DEN,CLT,1,1788.1424382820758,27155.935176579926
DEN,CLT,2,1771.2497541789576,46139.025110782866
DEN,DFW,0,650.0,7216.857040551427
DEN,DFW,1,1479.6197029556715,25814.86536139835
DEN,DFW,2,918.0,48300.0
DEN,DTW,0,1142.0,10112.288886625242
DEN,DTW,1,1721.6374906592748,29326.77183606452
DEN,DTW,2,1605.0,50049.26470588235
DEN,DTW,3,1433.0,30716.756756756757
DEN,EWR,0,1621.0,13574.538878842677
DEN,EWR,1,1906.7810679535462,28036.210166068224
DEN,EWR,2,1942.0092165898618,43771.846153846156
DEN,IAD,0,1473.0,12061.308621748925
DEN,IAD,1,1760.5219363005194,26590.412451361866
DEN,IAD,2,1847.4494290375203,40495.49755301794
DEN,IAD,3,1519.0,33721.675977653635
DEN,JFK,0,1621.0,13938.866569408596
DEN,JFK,1,2023.5275696468275,35152.334582988464
DEN,JFK,2,1954.1318785578749,43578.671726755216
DEN,LAX,0,843.5027595796665,8869.95885060678
DEN,LAX,1,1189.9936266903348,23005.570909090908
DEN,LAX,2,981.4980685659102,38299.483341380976
DEN,LGA,0,1621.0,13589.361499364675
DEN,LGA,1,1876.239677728639,28102.208074084792
DEN,LGA,2,1960.409090909091,46357.32057416268
DEN,MIA,0,1716.0,13993.686806411837
DEN,MIA,1,2136.886108909403,30164.41892694516
DEN,MIA,2,2023.323629306162,45822.79475982533
DEN,OAK,0,943.0,9436.757322175732
DEN,OAK,1,1294.9355032064245,26771.44805149858
DEN,OAK,2,1794.1748049696619,45555.7712305026
DEN,OAK,3,1719.0,64140.0
DEN,ORD,0,903.0,8932.579415501907
DEN,ORD,1,1496.8392186450405,25138.367856855002
DEN,ORD,2,1656.9473684210527,38760.0
DEN,ORD,3,1370.0,32693.346080305928
DEN,PHL,0,1567.0,12888.02573266619
DEN,PHL,1,1908.1388553586196,30016.98721693814
DEN,PHL,2,1804.1642276422765,45521.07317073171
DEN,PHL,3,1924.0,54480.0
DEN,SFO,0,954.0,9806.182134570765
DEN,SFO,1,1264.0063960334826,24183.724808485564
DEN,SFO,2,1332.9888551165147,35796.210739614995
DFW,ATL,0,725.0,7680.556849112912
DFW,ATL,1,1307.9400819830723,26217.009224373134
DFW,ATL,2,907.1086956521739,27637.82608695652
DFW,BOS,0,1556.0,13493.265140224901
DFW,BOS,1,1636.5526994991474,28428.809876752362
DFW,BOS,2,1679.0475113122172,46203.66515837104
DFW,CLT,0,930.0,9252.7979346916
DFW,CLT,1,1253.2457848535194,23802.752300936416
DFW,CLT,2,965.0461538461539,35291.230769230766
DFW,CLT,3,1191.924577373212,38546.189856957084
DFW,DEN,0,650.0,7581.316389995078
DFW,DEN,1,1494.7784433752804,25505.538888318093
DFW,DEN,2,1010.0761316872428,24484.938271604937
DFW,DTW,0,995.0,9560.136149905256
DFW,DTW,1,1440.7029347091025,28240.728419392985
DFW,DTW,2,1447.3991031390135,41413.72197309417
DFW,DTW,3,1472.0,42660.0
DFW,EWR,0,1380.0,12589.512686266613
DFW,EWR,1,1528.2362153762576,26490.989965705576
DFW,EWR,2,1611.9138576779026,45735.168539325845
DFW,IAD,0,1177.0,10646.01247128323
DFW,IAD,1,1376.1744245540062,24003.29770314754
DFW,IAD,2,1413.0374149659865,41764.28571428572
DFW,JFK,0,1380.0,13355.335810990178
DFW,JFK,1,1587.5621197782884,28185.748958846445
DFW,JFK,2,1530.433388981636,44290.39732888147
DFW,JFK,3,1210.0,48154.28571428572
DFW,LAX,0,1230.3873509949258,11707.806013472808
DFW,LAX,1,1544.7538574964271,26409.836102506335
DFW,LAX,2,1606.4045474045474,40250.759330759334
DFW,LGA,0,1380.0,12541.094465985196
DFW,LGA,1,1568.525868823117,26784.530716936028
DFW,LGA,2,1644.1813186813188,47904.72527472527
DFW,MIA,0,1115.0,10419.225189072387
DFW,MIA,1,1410.7872258616007,24895.09984639017
DFW,MIA,2,1398.24,31387.2
DFW,OAK,1,1873.3725390382601,31580.886690134146
DFW,OAK,2,1836.3535973018681,45180.199621928165
DFW,OAK,3,1226.0,92580.0
DFW,ORD,0,799.0,8796.775914634147
DFW,ORD,1,1340.225410854713,29604.586068855086
DFW,ORD,2,1356.978494623656,51556.12903225807
DFW,ORD,3,1044.7282511210763,36715.695067264576
