startingAirport,destinationAirport,flight_hour,segmentsAirlineCode
BOS,EWR,12,UA
BOS,EWR,13,AA
BOS,EWR,14,AA
BOS,EWR,15,UA
BOS,EWR,16,UA
BOS,EWR,17,AA
BOS,EWR,18,AA
BOS,EWR,19,UA
BOS,EWR,20,AA
BOS,EWR,21,UA
BOS,EWR,22,AA
BOS,EWR,23,UA
BOS,IAD,0,UA
BOS,IAD,2,DL
BOS,IAD,9,AA
BOS,IAD,10,DL
BOS,IAD,11,AA
BOS,IAD,12,AA
BOS,IAD,13,DL
BOS,IAD,14,UA
BOS,IAD,15,DL
BOS,IAD,16,DL
BOS,IAD,17,AA
BOS,IAD,18,UA
BOS,IAD,19,UA
BOS,IAD,20,AA
BOS,IAD,21,DL
BOS,IAD,22,AA
BOS,IAD,23,UA
BOS,JFK,0,AA
BOS,JFK,1,DL
BOS,JFK,2,AA
BOS,JFK,9,UA
BOS,JFK,10,DL
BOS,JFK,11,AA
BOS,JFK,12,B6
BOS,JFK,13,DL
BOS,JFK,14,AA
BOS,JFK,15,DL
BOS,JFK,16,DL
BOS,JFK,17,DL
BOS,JFK,18,DL
BOS,JFK,19,AA
BOS,JFK,20,AA
BOS,JFK,21,DL
BOS,JFK,22,AA
BOS,JFK,23,AA
BOS,LAX,0,B6
BOS,LAX,1,B6
BOS,LAX,2,B6
BOS,LAX,9,AA
BOS,LAX,10,AA
BOS,LAX,11,DL
BOS,LAX,12,AA
BOS,LAX,13,AA
BOS,LAX,14,DL
BOS,LAX,15,UA
BOS,LAX,16,AA
BOS,LAX,17,AA
BOS,LAX,18,AA
BOS,LAX,19,DL
BOS,LAX,20,AA
BOS,LAX,21,DL
BOS,LAX,22,UA
BOS,LAX,23,B6
BOS,LGA,0,DL
BOS,LGA,1,DL
BOS,LGA,2,B6
BOS,LGA,9,UA
BOS,LGA,10,AA
BOS,LGA,11,AA
BOS,LGA,12,AA
BOS,LGA,13,AA
BOS,LGA,14,UA
BOS,LGA,15,DL
BOS,LGA,16,AA
BOS,LGA,17,DL
BOS,LGA,18,AA
BOS,LGA,19,AA
BOS,LGA,20,AA
BOS,LGA,21,AA
BOS,LGA,22,AA
BOS,LGA,23,AA
BOS,MIA,0,DL
BOS,MIA,1,DL
BOS,MIA,2,B6
BOS,MIA,9,B6
BOS,MIA,10,UA
BOS,MIA,11,AA
BOS,MIA,12,B6
BOS,MIA,13,AA
BOS,MIA,14,AA
BOS,MIA,15,UA
BOS,MIA,16,AA
BOS,MIA,17,AA
BOS,MIA,18,UA
BOS,MIA,19,AA
BOS,MIA,20,AA
BOS,MIA,21,UA
BOS,MIA,22,B6
BOS,MIA,23,B6
BOS,OAK,0,AS
BOS,OAK,1,DL
BOS,OAK,2,AS
BOS,OAK,9,UA
BOS,OAK,10,UA
BOS,OAK,11,AS
BOS,OAK,12,UA
BOS,OAK,13,UA
BOS,OAK,14,DL
BOS,OAK,15,AS
BOS,OAK,16,AS
BOS,OAK,17,UA
BOS,OAK,18,AS
BOS,OAK,19,DL
BOS,OAK,20,AS
BOS,OAK,21,DL
BOS,OAK,22,DL
BOS,OAK,23,AS
BOS,ORD,0,DL
BOS,ORD,1,DL
BOS,ORD,2,DL
BOS,ORD,9,B6
BOS,ORD,10,DL
BOS,ORD,11,AA
BOS,ORD,12,AA
BOS,ORD,13,AA
BOS,ORD,14,AA
BOS,ORD,15,SY
BOS,ORD,16,AA
BOS,ORD,17,UA
BOS,ORD,18,AA
BOS,ORD,19,AA
BOS,ORD,20,DL
BOS,ORD,21,AA
BOS,ORD,22,UA
BOS,ORD,23,AA
BOS,PHL,0,AA
BOS,PHL,1,B6
BOS,PHL,2,DL
BOS,PHL,9,NK
BOS,PHL,10,AA
BOS,PHL,11,AA
BOS,PHL,12,UA
BOS,PHL,13,UA
BOS,PHL,14,B6
BOS,PHL,15,UA
BOS,PHL,16,UA
BOS,PHL,17,AA
BOS,PHL,18,UA
BOS,PHL,19,DL
BOS,PHL,20,AA
BOS,PHL,21,AA
BOS,PHL,22,AA
BOS,PHL,23,DL
BOS,SFO,0,B6
BOS,SFO,1,B6
BOS,SFO,2,B6
BOS,SFO,9,AA
BOS,SFO,10,AA
BOS,SFO,11,AA
BOS,SFO,12,UA
BOS,SFO,13,DL
BOS,SFO,14,AA
BOS,SFO,15,UA
BOS,SFO,16,DL
BOS,SFO,17,UA
BOS,SFO,18,AA
BOS,SFO,19,UA
BOS,SFO,20,AA
BOS,SFO,21,DL
BOS,SFO,22,AA
BOS,SFO,23,UA
CLT,ATL,0,AA
CLT,ATL,1,UA
CLT,ATL,2,AA
CLT,ATL,9,DL
CLT,ATL,10,UA
CLT,ATL,11,AA
CLT,ATL,12,DL
CLT,ATL,13,AA
CLT,ATL,14,UA
CLT,ATL,15,AA
CLT,ATL,16,DL
CLT,ATL,17,AA
CLT,ATL,18,AA
CLT,ATL,19,UA
CLT,ATL,20,AA
CLT,ATL,21,DL
CLT,ATL,22,AA
CLT,ATL,23,UA
CLT,BOS,0,AA
CLT,BOS,1,UA
CLT,BOS,2,AA
CLT,BOS,9,DL
CLT,BOS,10,UA
CLT,BOS,11,UA
CLT,BOS,12,DL
CLT,BOS,13,AA
CLT,BOS,14,AA
CLT,BOS,15,DL
CLT,BOS,16,B6
CLT,BOS,17,AA
CLT,BOS,18,AA
CLT,BOS,19,AA
CLT,BOS,20,B6
CLT,BOS,21,AA
CLT,BOS,22,AA
CLT,BOS,23,UA
CLT,DEN,0,AA
CLT,DEN,1,AA
CLT,DEN,2,AA
CLT,DEN,9,DL
CLT,DEN,10,DL
CLT,DEN,11,UA
CLT,DEN,12,UA
CLT,DEN,13,AA
CLT,DEN,14,DL
CLT,DEN,15,AA
CLT,DEN,16,DL
CLT,DEN,17,AA
CLT,DEN,18,DL
CLT,DEN,19,AA
CLT,DEN,20,AA
CLT,DEN,21,UA
CLT,DEN,22,DL
CLT,DEN,23,UA
CLT,DFW,0,AA
CLT,DFW,1,AA
CLT,DFW,2,AA
CLT,DFW,9,DL
CLT,DFW,10,NK
CLT,DFW,11,AA
CLT,DFW,12,DL
CLT,DFW,13,AA
CLT,DFW,14,DL
CLT,DFW,15,AA
CLT,DFW,16,DL
CLT,DFW,17,AA
CLT,DFW,18,AA
CLT,DFW,19,AA
CLT,DFW,20,AA
CLT,DFW,21,DL
CLT,DFW,22,AA
CLT,DFW,23,DL
CLT,DTW,0,AA
CLT,DTW,1,AA
CLT,DTW,2,AA
CLT,DTW,9,DL
CLT,DTW,10,DL
CLT,DTW,11,AA
CLT,DTW,12,DL
CLT,DTW,13,DL
CLT,DTW,14,UA
CLT,DTW,15,UA
CLT,DTW,16,DL
CLT,DTW,17,NK
CLT,DTW,18,AA
CLT,DTW,19,UA
CLT,DTW,20,AA
CLT,DTW,21,AA
CLT,DTW,22,DL
CLT,DTW,23,UA
CLT,EWR,0,AA
CLT,EWR,1,UA
CLT,EWR,2,AA
CLT,EWR,9,DL
CLT,EWR,10,UA
CLT,EWR,11,DL
CLT,EWR,12,DL
CLT,EWR,13,AA
CLT,EWR,14,DL
CLT,EWR,15,AA
CLT,EWR,16,DL
CLT,EWR,17,AA
CLT,EWR,18,DL
CLT,EWR,19,UA
CLT,EWR,20,AA
CLT,EWR,21,UA
CLT,EWR,22,AA
CLT,EWR,23,UA
CLT,IAD,0,AA
CLT,IAD,2,AA
CLT,IAD,9,DL
CLT,IAD,10,UA
CLT,IAD,11,UA
CLT,IAD,12,AA
CLT,IAD,13,AA
CLT,IAD,14,UA
CLT,IAD,15,DL
CLT,IAD,16,DL
CLT,IAD,17,DL
CLT,IAD,18,UA
CLT,IAD,19,AA
CLT,IAD,20,DL
CLT,IAD,21,DL
CLT,IAD,22,DL
CLT,IAD,23,UA
CLT,JFK,0,B6
CLT,JFK,1,AA
CLT,JFK,2,AA
CLT,JFK,9,DL
CLT,JFK,10,UA
CLT,JFK,11,AA
CLT,JFK,12,AA
CLT,JFK,13,AA
CLT,JFK,14,UA
CLT,JFK,15,DL
CLT,JFK,16,B6
CLT,JFK,17,AA
CLT,JFK,18,AA
CLT,JFK,19,AA
CLT,JFK,20,AA
CLT,JFK,21,DL
CLT,JFK,22,AA
CLT,JFK,23,UA
CLT,LAX,0,AA
CLT,LAX,1,F9
CLT,LAX,2,AA
CLT,LAX,9,DL
CLT,LAX,10,DL
CLT,LAX,11,UA
CLT,LAX,12,UA
CLT,LAX,13,AA
CLT,LAX,14,DL
CLT,LAX,15,UA
CLT,LAX,16,DL
CLT,LAX,17,AA
CLT,LAX,18,AA
CLT,LAX,19,UA
CLT,LAX,20,UA
CLT,LAX,21,UA
CLT,LAX,22,DL
CLT,LAX,23,UA
CLT,LGA,0,AA
CLT,LGA,1,AA
CLT,LGA,2,AA
CLT,LGA,9,AA
CLT,LGA,10,UA
CLT,LGA,11,AA
CLT,LGA,12,DL
CLT,LGA,13,AA
CLT,LGA,14,UA
CLT,LGA,15,AA
CLT,LGA,16,B6
CLT,LGA,17,AA
CLT,LGA,18,AA
CLT,LGA,19,AA
CLT,LGA,20,AA
CLT,LGA,21,DL
CLT,LGA,22,AA
CLT,LGA,23,UA
CLT,MIA,0,AA
CLT,MIA,1,AA
CLT,MIA,2,AA
CLT,MIA,3,AA
CLT,MIA,9,DL
CLT,MIA,10,DL
CLT,MIA,11,AA
CLT,MIA,12,DL
CLT,MIA,13,AA
CLT,MIA,14,UA
CLT,MIA,15,AA
CLT,MIA,16,DL
CLT,MIA,17,AA
CLT,MIA,18,AA
CLT,MIA,19,AA
CLT,MIA,20,AA
CLT,MIA,21,DL
CLT,MIA,22,AA
CLT,MIA,23,DL
CLT,OAK,0,F9
CLT,OAK,1,F9
CLT,OAK,9,DL
CLT,OAK,10,UA
